,input_text,label,label_idx
0,-DOCSTART- QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM,O B-DEP I-DEP B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC,"[16, 2, 10, 4, 12, 12, 12, 12, 12, 12, 12]"
1,Độc lập - Tự do - Hạnh phúc,O O O O O O O O,"[16, 16, 16, 16, 16, 16, 16, 16]"
2,"Luật số : 59/2020/QH14 Hà Nội , ngày 17 tháng 6 năm 2020",O O O B-DOCID B-LOC I-LOC O B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 16, 3, 4, 12, 16, 1, 9, 9, 9, 9, 9]"
3,LUẬT DOANH NGHIỆP,B-TIT B-TIT I-TIT,"[6, 6, 14]"
4,Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam,O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[16, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
5,Quốc hội ban hành Luật Doanh nghiệp,B-DEP I-DEP O O B-TIT I-TIT I-TIT,"[2, 10, 16, 16, 6, 14, 14]"
6,QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM,B-DEP I-DEP B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC,"[2, 10, 4, 12, 12, 12, 12, 12, 12, 12]"
7,Độc lập - Tự do - Hạnh phúc,O O O O O O O O,"[16, 16, 16, 16, 16, 16, 16, 16]"
8,"Luật số : 76/2025/QH15 Hà Nội , ngày 17 tháng 6 năm 2025",O O O B-DOCID B-LOC I-LOC O B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 16, 3, 4, 12, 16, 1, 9, 9, 9, 9, 9]"
9,"LUẬT SỬA ĐỔI , BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT DOANH NGHIỆP",B-TYP O O O O O O O O O B-TIT I-TIT I-TIT,"[7, 16, 16, 16, 16, 16, 16, 16, 16, 16, 6, 14, 14]"
10,"Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam đã được sửa đổi , bổ sung một số điều theo Nghị quyết số 203/2025/QH15",O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O O O O O O O O O O O B-TYP I-TYP B-DOCID I-DOCID,"[16, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 7, 15, 3, 11]"
11,"Quốc hội ban hành Luật sửa đổi , bổ sung một số điều của Luật Doanh nghiệp số 59/2020/QH14 đã được sửa đổi , bổ sung một số điều theo Luật số 03/2022/QH15",B-DEP I-DEP O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT O B-TIT I-TIT I-TIT O B-DOCID O O O O O O O O O O O O O B-DOCID,"[2, 10, 16, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 16, 6, 14, 14, 16, 3, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 3]"
12,QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM,B-DEP I-DEP B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC,"[2, 10, 4, 12, 12, 12, 12, 12, 12, 12]"
13,"Luật số : 48/2024/QH15 Hà Nội , ngày 26 tháng 11 năm 2024",O O O B-DOCID B-LOC I-LOC O B-DAT I-DAT I-DAT I-DAT I-DAT I-DAT,"[16, 16, 16, 3, 4, 12, 16, 1, 9, 9, 9, 9, 9]"
14,LUẬT THUẾ GIÁ TRỊ GIA TĂNG,B-TIT B-TIT I-TIT I-TIT I-TIT I-TIT,"[6, 6, 14, 14, 14, 14]"
15,Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam,O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[16, 16, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
16,Quốc hội ban hành Luật Thuế giá trị gia tăng,B-DEP I-DEP O O B-TIT I-TIT I-TIT I-TIT I-TIT I-TIT,"[2, 10, 16, 16, 6, 14, 14, 14, 14, 14]"
