doc_use_case,doc_source,user_input,reference,created_time,supporting_context,gen_method,annotation_method,question_type,question_category,cognitive,multi_clause,negative,key,question_id,doc_id,synthesizer_name
QA,Luật Thuế TNDN 2025,Doanh nghiệp nào phải nộp thuế thu nhập doanh nghiệp theo Luật Thuế TNDN 2025?,"Các tổ chức hoạt động sản xuất, kinh doanh hàng hóa, dịch vụ có thu nhập chịu thuế, bao gồm: doanh nghiệp thành lập theo pháp luật Việt Nam, doanh nghiệp nước ngoài có hoặc không có cơ sở thường trú tại Việt Nam, hợp tác xã, đơn vị sự nghiệp, và các tổ chức khác có hoạt động kinh doanh có thu nhập.",2025-10-01T03:02:01.122624,"Điều 2, Luật số 67/2025/QH15",manual_generation,ai_assisted,What,Factual,no,no,no,obs_1,q_1,luat_tndn_2025,manual
QA,Luật Thuế TNDN 2025,Thu nhập nào được coi là “thu nhập chịu thuế” theo luật mới?,"Bao gồm thu nhập từ sản xuất, kinh doanh hàng hóa, dịch vụ và các khoản khác như: chuyển nhượng vốn, chứng khoán, bất động sản, dự án đầu tư, quyền tham gia dự án, quyền sở hữu trí tuệ, lãi tiền gửi, lãi vay, bán ngoại tệ, và các khoản thu nhập khác.",2025-10-01T03:02:01.122624,Điều 3,manual_generation,ai_assisted,What,Factual,yes,no,no,obs_2,q_2,luat_tndn_2025,manual
QA,Luật Thuế TNDN 2025,Doanh nghiệp nào được miễn thuế thu nhập từ hoạt động nông nghiệp?,"Doanh nghiệp, hợp tác xã hoạt động trong sản xuất sản phẩm cây trồng, rừng trồng, chăn nuôi, thủy sản, chế biến nông sản, thủy sản tại địa bàn có điều kiện kinh tế - xã hội đặc biệt khó khăn; hoặc sản xuất muối.",2025-10-01T03:02:01.122624,"Điều 4, khoản 1–2",manual_generation,ai_assisted,What,Factual,no,no,no,obs_3,q_3,luat_tndn_2025,manual
QA,Luật Thuế TNDN 2025,"Thu nhập từ hoạt động nghiên cứu khoa học, công nghệ có được miễn thuế không?","Có, thu nhập từ hợp đồng nghiên cứu khoa học, phát triển công nghệ, đổi mới sáng tạo, chuyển đổi số, bán sản phẩm công nghệ mới lần đầu áp dụng tại Việt Nam, sản xuất thử nghiệm được miễn thuế tối đa 3 năm.",2025-10-01T03:02:01.122624,"Điều 4, khoản 4",manual_generation,ai_assisted,Why,Factual → Policy Incentive,yes,no,yes,obs_4,q_4,luat_tndn_2025,manual
QA,Luật Thuế TNDN 2025,Thuế suất chuẩn của thuế thu nhập doanh nghiệp là bao nhiêu?,"Thuế suất chuẩn là 20%, trừ các trường hợp doanh nghiệp có doanh thu nhỏ (15% hoặc 17%) hoặc các ngành đặc thù (25%–50%).",2025-10-01T03:02:01.122624,Điều 10,manual_generation,ai_assisted,What,Factual,no,no,no,obs_5,q_5,luat_tndn_2025,manual
QA,Luật Thuế TNDN 2025,Doanh nghiệp có doanh thu dưới 3 tỷ đồng một năm áp dụng mức thuế suất nào?,Doanh nghiệp có tổng doanh thu năm không quá 3 tỷ đồng áp dụng thuế suất 15%.,2025-10-01T03:02:01.122624,"Điều 10, khoản 2",manual_generation,ai_assisted,What,Factual,no,no,no,obs_6,q_6,luat_tndn_2025,manual
QA,Luật Thuế TNDN 2025,"Doanh nghiệp có nhiều hoạt động kinh doanh, trong đó có hoạt động bị lỗ, thì xử lý thế nào khi tính thu nhập chịu thuế?","Doanh nghiệp được bù trừ số lỗ vào thu nhập chịu thuế của các hoạt động có lãi, trừ các hoạt động chuyển nhượng bất động sản, dự án đầu tư không được bù trừ.",2025-10-01T03:02:01.122624,"Điều 7, khoản 3",manual_generation,ai_assisted,How,Compare/Process,yes,no,no,obs_7,q_7,luat_tndn_2025,manual
QA,Luật Thuế TNDN 2025,Doanh nghiệp nào được hưởng thuế suất ưu đãi 10% trong 15 năm?,"Doanh nghiệp thực hiện dự án đầu tư mới trong lĩnh vực công nghệ cao, công nghiệp hỗ trợ, năng lượng sạch, khu kinh tế, khu công nghệ cao, hoặc địa bàn kinh tế xã hội đặc biệt khó khăn.",2025-10-01T03:02:01.122624,"Điều 13, khoản 1",manual_generation,ai_assisted,What,Factual,no,no,no,obs_8,q_8,luat_tndn_2025,manual
QA,Luật Thuế TNDN 2025,Thời gian được miễn thuế tối đa cho một dự án đầu tư mới là bao lâu?,Doanh nghiệp được miễn thuế tối đa 4 năm và giảm 50% số thuế phải nộp tối đa không quá 9 năm tiếp theo.,2025-10-01T03:02:01.122624,"Điều 14, khoản 1",manual_generation,ai_assisted,What,Factual,no,no,no,obs_9,q_9,luat_tndn_2025,manual
QA,Luật Thuế TNDN 2025,Doanh nghiệp có lỗ thì được chuyển lỗ trong bao lâu?,"Doanh nghiệp có lỗ được chuyển sang năm sau để trừ vào thu nhập chịu thuế, thời gian liên tục tối đa không quá 5 năm.",2025-10-01T03:02:01.122624,"Điều 16, khoản 1",manual_generation,ai_assisted,What,Factual,no,no,no,obs_10,q_10,luat_tndn_2025,manual
